title,url,platform,content_type
Avengers: Age of Ultron,https://www.justwatch.com/in/movie/avengers-age-of-ultron,JioHotstar,movie
Forrest Gump,https://www.justwatch.com/in/movie/forrest-gump,JioHotstar,movie
Paan Singh Tomar,https://www.justwatch.com/in/movie/paan-singh-tomar,JioHotstar,movie
The Big Lebowski,https://www.justwatch.com/in/movie/the-big-lebowski,JioHotstar,movie
Fifty Shades Darker,https://www.justwatch.com/in/movie/fifty-shades-darker,JioHotstar,movie
Born on the Fourth of July,https://www.justwatch.com/in/movie/born-on-the-fourth-of-july,JioHotstar,movie
Happy Gilmore,https://www.justwatch.com/in/movie/happy-gilmore,JioHotstar,movie
xXx,https://www.justwatch.com/in/movie/xxx,JioHotstar,movie
The Lord of the Rings: The Return of the King,https://www.justwatch.com/in/movie/the-lord-of-the-rings-the-return-of-the-king,JioHotstar,movie
24,https://www.justwatch.com/in/movie/24,JioHotstar,movie
Eesha,https://www.justwatch.com/in/movie/eesha-2025,JioHotstar,movie
Dracula: A Love Tale,https://www.justwatch.com/in/movie/dracula-a-love-tale,JioHotstar,movie
Rental Family,https://www.justwatch.com/in/movie/rental-family,JioHotstar,movie
Color Out of Space,https://www.justwatch.com/in/movie/color-out-of-space,JioHotstar,movie
Thudarum,https://www.justwatch.com/in/movie/thudarum,JioHotstar,movie
Housefull 4,https://www.justwatch.com/in/movie/housefull-4,JioHotstar,movie
Transformers,https://www.justwatch.com/in/movie/transformers,JioHotstar,movie
Top Gun,https://www.justwatch.com/in/movie/vesper,JioHotstar,movie
The Bad Guys: Reign of Chaos,https://www.justwatch.com/in/movie/the-bad-guys-reign-of-chaos,JioHotstar,movie
Pritam Pedro,https://www.justwatch.com/in/tv-show/pritam-pedro,JioHotstar,show
House of the Dragon,https://www.justwatch.com/in/tv-show/house-of-the-dragon,JioHotstar,show
Game of Thrones,https://www.justwatch.com/in/tv-show/game-of-thrones,JioHotstar,show
Bigg Boss,https://www.justwatch.com/in/tv-show/bigg-boss,JioHotstar,show
Resort,https://www.justwatch.com/in/tv-show/resort,JioHotstar,show
Euphoria,https://www.justwatch.com/in/tv-show/euphoria,JioHotstar,show
Kaisi Yeh Yaariyan,https://www.justwatch.com/in/tv-show/kaisi-yeh-yaariaan,JioHotstar,show
Avatar: The Last Airbender,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender-2005,JioHotstar,show
Jujutsu Kaisen,https://www.justwatch.com/in/tv-show/jujutsu-kaisen,JioHotstar,show
Asur: Welcome to Your Dark Side,https://www.justwatch.com/in/tv-show/asur,JioHotstar,show
Thukra Ke Mera Pyaar,https://www.justwatch.com/in/tv-show/thukra-ke-mera-pyaar,JioHotstar,show
Classroom of the Elite,https://www.justwatch.com/in/tv-show/classroom-of-the-elite,JioHotstar,show
Friends,https://www.justwatch.com/in/tv-show/friends,JioHotstar,show
24,https://www.justwatch.com/in/tv-show/24-india,JioHotstar,show
A Knight of the Seven Kingdoms,https://www.justwatch.com/in/tv-show/a-knight-of-the-seven-kingdoms-the-hedge-knight,JioHotstar,show
The Agency,https://www.justwatch.com/in/tv-show/the-agency,JioHotstar,show
Kimetsu no Yaiba,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba,JioHotstar,show
MTV Splitsvilla,https://www.justwatch.com/in/tv-show/mtv-splitsvilla,JioHotstar,show
The Bear,https://www.justwatch.com/in/tv-show/the-bear,JioHotstar,show
Prison Break,https://www.justwatch.com/in/tv-show/prison-break,JioHotstar,show
Mushoku Tensei: Jobless Reincarnation,https://www.justwatch.com/in/tv-show/mushoku-tensei-jobless-reincarnation,JioHotstar,show
Dutton Ranch,https://www.justwatch.com/in/tv-show/dutton-ranch,JioHotstar,show
A Shop for Killers,https://www.justwatch.com/in/tv-show/a-shop-for-killers,JioHotstar,show
Laughter Chefs Unlimited Entertainment,https://www.justwatch.com/in/tv-show/laughter-chefs-unlimited-entertainment,JioHotstar,show
The Vampire Diaries,https://www.justwatch.com/in/tv-show/the-vampire-diaries,JioHotstar,show
Shin Chan,https://www.justwatch.com/in/tv-show/crayon-shin-chan,JioHotstar,show
Suits,https://www.justwatch.com/in/tv-show/suits,JioHotstar,show
The Day of the Jackal,https://www.justwatch.com/in/tv-show/the-day-of-the-jackal,JioHotstar,show
Chernobyl,https://www.justwatch.com/in/tv-show/chernobyl,JioHotstar,show
Perfect Crown,https://www.justwatch.com/in/tv-show/perfect-crown,JioHotstar,show
True Detective,https://www.justwatch.com/in/tv-show/true-detective,JioHotstar,show
